index,celebrity_age_during_season,elimination_order,score_sum,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media
0,50,5,48.33333333,1,0,0,0,0,0,0
1,29,6,42.66666667,1,0,0,0,0,0,0
2,42,2,15,0,0,0,0,0,1,0
3,35,3,31.66666667,0,0,1,0,0,0,0
4,32,4,35.16666667,0,0,0,1,0,0,0
5,32,1,12.33333333,0,0,0,0,0,0,1
6,42,2,13.33333333,1,0,0,0,0,0,0
7,39,5,38.33333333,1,0,0,0,0,0,0
8,66,6,43.33333333,1,0,0,0,0,0,0
9,42,7,56.16666667,1,0,0,0,0,0,0
10,26,8,73.38883333,0,0,0,0,0,1,0
11,43,9,60.05553333,0,0,0,0,0,1,0
12,44,3,23,0,0,0,0,0,0,1
13,35,4,16.66666667,0,0,0,1,0,0,0
14,29,10,73.1666,0,0,0,1,0,0,0
15,46,1,4.333333333,0,0,0,0,0,0,1
16,54,3,20,1,0,0,0,0,0,0
17,42,4,32.33333333,1,0,0,0,0,0,0
18,25,8,66.5,1,0,0,0,0,0,0
19,30,9,77.66666667,1,0,0,0,0,0,0
20,32,10,89.55553333,1,0,0,0,0,0,0
21,37,11,85.88886667,0,0,0,0,0,1,0
22,31,2,13.33333333,0,0,1,0,0,0,0
23,25,5,40.66666667,0,0,0,1,0,0,0
24,35,6,35,0,0,0,1,0,0,0
25,62,7,47.66666667,0,0,0,0,0,0,1
26,37,1,4,0,0,0,0,0,0,1
27,59,6,44.5,1,0,0,0,0,0,0
28,42,8,72.83333333,1,0,0,0,0,0,0
29,44,4,26,0,0,0,0,0,1,0
30,29,9,87.4444,0,0,0,0,0,1,0
31,24,11,89.61106667,0,0,0,0,0,1,0
32,28,2,20,0,0,1,0,0,0,0
33,41,1,13.33333333,0,0,1,0,0,0,0
34,39,5,44.33333333,0,0,1,0,0,0,0
35,45,7,50.66666667,0,0,0,1,0,0,0
36,30,10,89.22216667,0,0,0,1,0,0,0
37,50,3,25.33333333,0,0,0,0,0,0,1
38,38,8,64.66666667,1,0,0,0,0,0,0
39,56,7,57,1,0,0,0,0,0,0
40,23,6,54,1,0,0,0,0,0,0
41,35,9,75.83333333,1,0,0,0,0,0,0
42,30,4,27.66666667,0,0,0,0,0,1,0
43,29,1,5.333333333,0,0,1,0,0,0,0
44,22,2,14,0,0,1,0,0,0,0
45,32,12,88.8333,0,0,0,0,0,1,0
46,32,11,90.77773333,0,0,0,1,0,0,0
47,65,3,17.33333333,0,0,0,1,0,0,0
48,47,10,80.83333333,0,0,0,1,0,0,0
49,49,5,34,0,0,0,0,0,0,1
50,34,10,82.5,1,0,0,0,0,0,0
51,49,3,18.33333333,1,0,0,0,0,0,0
52,62,5,38,1,0,0,0,0,0,0
53,42,6,44.66666667,1,0,0,0,0,0,0
54,34,7,56.5,1,0,0,0,0,0,0
55,35,9,69.66666667,1,0,0,0,0,0,0
56,33,11,87.16666667,0,0,0,0,0,1,0
57,36,12,94,0,0,0,0,0,1,0
58,34,2,10,0,0,0,0,0,1,0
59,53,1,11,1,0,0,0,0,0,0
60,43,4,24.66666667,0,0,0,0,0,0,1
61,21,8,67.33333333,0,0,0,1,0,0,0
62,50,2,6.166666667,1,0,0,0,0,0,0
63,82,7,35,1,0,0,0,0,0,0
64,61,8,51.16666667,1,0,0,0,0,0,0
65,18,10,68.5,1,0,0,0,0,0,0
66,31,4,14,0,0,0,0,0,1,0
67,34,9,59.83333333,0,0,0,0,0,1,0
68,35,12,80.83333333,0,0,0,0,0,1,0
69,43,1,4,1,0,0,0,0,0,0
70,40,6,37.16666667,0,0,0,1,0,0,0
71,29,11,81.16666667,0,0,0,1,0,0,0
72,27,3,11.83333333,0,0,0,0,0,0,1
73,41,5,23.83333333,0,0,0,0,0,0,1
74,37,13,89.83333333,0,0,0,0,0,0,1
75,33,12,101.5,1,0,0,0,0,0,0
76,38,2,18.33333333,1,0,0,0,0,0,0
77,52,5,34.66666667,1,0,0,0,0,0,0
78,50,7,46,0,0,0,0,0,1,0
79,39,10,72.66666667,0,0,0,0,0,1,0
80,17,13,97,0,0,0,0,0,1,0
81,58,4,17.33333333,0,0,0,0,1,0,0
82,50,1,11.66666667,0,0,0,1,0,0,0
83,29,8,61.16666667,0,0,0,1,0,0,0
84,34,9,76.66666667,0,0,0,1,0,0,0
85,34,6,31.66666667,0,0,0,0,0,0,1
86,30,3,23,0,0,0,0,0,0,1
87,26,11,97.83333333,0,0,0,0,0,0,1
88,34,1,6.3333,1,0,0,0,0,0,0
89,45,5,20,1,0,0,0,0,0,0
90,33,8,45.66663333,1,0,0,0,0,0,0
91,45,11,56.49993333,1,0,0,0,0,0,0
92,39,6,25,0,0,0,0,0,1,0
93,27,7,39.99993333,0,0,0,0,0,1,0
94,21,9,42.6666,0,0,0,0,0,1,0
95,43,10,45.1666,0,0,0,0,0,1,0
96,30,13,81.1666,0,0,1,0,0,0,0
97,46,3,12.66663333,0,0,1,0,0,0,0
98,62,4,17.66663333,0,0,0,0,1,0,0
99,42,2,6.3333,0,0,0,1,0,0,0
100,21,12,68.83323333,0,0,0,1,0,0,0
101,29,15,94.77766667,0,0,0,1,0,0,0
102,51,16,88.22206667,0,0,0,1,0,0,0
103,24,14,81.57386667,0,0,0,0,0,0,1
104,32,3,23.5,1,0,0,0,0,0,0
105,38,1,12.66666667,1,0,0,0,0,0,0
106,40,7,55.99993333,1,0,0,0,0,0,0
107,80,2,13,0,0,0,0,1,0,0
108,32,8,66.49996667,0,0,0,0,0,1,0
109,24,10,87.62956667,0,0,0,0,0,1,0
110,42,6,54.6666,0,0,1,0,0,0,0
111,31,11,93.59253333,0,0,0,1,0,0,0
112,32,9,83.1666,0,0,0,0,0,0,1
113,35,4,25.66666667,0,0,0,0,0,0,1
114,32,5,42.66663333,0,0,0,0,0,0,1
115,58,1,5,1,0,0,0,0,0,0
116,76,5,31.83333333,1,0,0,0,0,0,0
117,19,11,82.48603333,1,0,0,0,0,0,0
118,50,12,89.95833333,1,0,0,0,0,0,0
119,41,7,55.45833333,0,0,0,0,0,1,0
120,39,8,58.74996667,0,0,0,0,0,1,0
121,41,3,17,1,0,0,0,0,0,0
122,57,2,9.333333333,0,0,0,1,0,0,0
123,31,9,79.79163333,0,0,0,1,0,0,0
124,28,4,22.33333333,0,0,0,0,0,0,1
125,25,6,48.6666,0,0,0,0,0,0,1
126,19,10,73.68046667,0,0,0,0,0,0,1
127,49,8,69.58333333,1,0,0,0,0,0,0
128,22,9,86.55553333,1,0,0,0,0,0,0
129,60,10,79.66663333,1,0,0,0,0,0,0
130,35,11,86.4722,0,0,0,0,0,1,0
131,54,3,25,0,0,0,0,0,1,0
132,40,5,44.66666667,0,0,0,0,0,1,0
133,31,4,35.33333333,0,0,1,0,0,0,0
134,32,1,10,0,0,0,0,0,0,1
135,21,7,62.5,0,0,0,1,0,0,0
136,46,2,15.33333333,0,0,0,0,0,0,1
137,25,6,49.29166667,0,0,0,0,0,0,1
138,33,2,12,1,0,0,0,0,0,0
139,40,7,51.5,1,0,0,0,0,0,0
140,42,10,88.6666,1,0,0,0,0,0,0
141,28,12,87.72216667,1,0,0,0,0,0,0
142,31,1,4.666666667,0,0,0,0,0,1,0
143,30,9,69.1666,0,0,0,0,0,1,0
144,43,4,30,0,0,0,1,0,0,0
145,24,3,21.66666667,0,0,0,0,0,0,1
146,41,5,32.33333333,0,0,0,0,0,0,1
147,42,6,37.66666667,0,0,0,0,0,0,1
148,51,8,56.33333333,0,0,0,0,0,0,1
149,24,11,81.27766667,0,0,0,0,0,0,1
150,31,10,92.55553333,1,0,0,0,0,0,0
151,52,2,22.66666667,1,0,0,0,0,0,0
152,44,3,30.33333333,1,0,0,0,0,0,0
153,35,6,60.49993333,1,0,0,0,0,0,0
154,20,7,69.33326667,1,0,0,0,0,0,0
155,47,8,62,1,0,0,0,0,0,0
156,55,1,12.33333333,0,0,0,0,0,1,0
157,37,12,90.38883333,0,0,0,0,0,1,0
158,35,4,35.66666667,0,0,0,1,0,0,0
159,67,5,44,0,0,0,1,0,0,0
160,31,11,95.16663333,0,0,0,1,0,0,0
161,33,9,80.16663333,0,0,0,0,0,0,1
162,36,8,74.38416667,1,0,0,0,0,0,0
163,28,6,53.29166667,1,0,0,0,0,0,0
164,61,7,64.5833,1,0,0,0,0,0,0
165,36,11,90.6434,1,0,0,0,0,0,0
166,30,9,82.3379,0,0,0,0,0,1,0
167,43,10,81.35176667,0,0,0,0,0,1,0
168,20,12,94.5508,0,0,0,0,0,1,0
169,45,1,5.666666667,0,0,1,0,0,0,0
170,37,4,23.33333333,0,0,0,0,0,1,0
171,35,2,14.33333333,0,0,0,1,0,0,0
172,36,3,22.66666667,0,0,0,1,0,0,0
173,21,5,28,0,0,0,0,0,0,1
174,29,13,94.70356667,0,0,0,0,0,0,1
175,41,8,67.5,1,0,0,0,0,0,0
176,16,11,90.99993333,1,0,0,0,0,0,0
177,56,1,12,0,0,0,0,0,1,0
178,26,5,39.33333333,0,0,0,0,0,1,0
179,18,9,88.16666667,0,0,0,0,0,1,0
180,28,10,83.9999,0,0,0,0,0,1,0
181,50,4,27.66666667,1,0,0,0,0,0,0
182,47,6,44.16666667,1,0,0,0,0,0,0
183,48,2,17,0,0,0,1,0,0,0
184,26,12,89.16666667,0,0,0,1,0,0,0
185,52,3,25,0,0,0,0,0,0,1
186,29,7,57.33333333,0,0,0,0,0,0,1
187,74,3,24.66666667,1,0,0,0,0,0,0
188,28,6,68.83333333,1,0,0,0,0,0,0
189,39,7,79.6666,1,0,0,0,0,0,0
190,43,8,82.9583,1,0,0,0,0,0,0
191,24,11,101.4304333,1,0,0,0,0,0,0
192,27,12,101.3193667,1,0,0,0,0,0,0
193,41,1,11.66666667,0,0,0,0,0,1,0
194,56,9,83.33326667,1,0,0,0,0,0,0
195,31,4,41.66666667,0,0,0,1,0,0,0
196,25,5,58.66666667,0,0,0,0,0,0,1
197,27,10,95.70823333,0,0,0,0,0,0,1
198,57,2,15.66666667,0,0,0,0,0,0,1
199,76,3,10,1,0,0,0,0,0,0
200,39,7,70.25,1,0,0,0,0,0,0
201,23,9,88.75,1,0,0,0,0,0,0
202,37,10,82.99993333,1,0,0,0,0,0,0
203,33,2,13.66666667,0,0,0,0,0,1,0
204,64,1,6,0,0,0,0,0,1,0
205,26,8,81.20833333,0,0,0,0,0,1,0
206,34,11,91.26386667,0,0,0,0,0,1,0
207,27,12,93.58333333,0,0,0,0,0,1,0
208,55,5,44.75,1,0,0,0,0,0,0
209,17,4,39.66666667,0,0,0,1,0,0,0
210,46,6,55.25,0,0,0,0,0,0,1
211,42,6,49.875,1,0,0,0,0,0,0
212,33,5,43,1,0,0,0,0,0,0
213,53,8,76.25,1,0,0,0,0,0,0
214,25,11,99.49995,1,0,0,0,0,0,0
215,42,13,101,1,0,0,0,0,0,0
216,32,1,5.5,0,0,0,0,0,1,0
217,51,3,21.25,0,0,0,0,0,1,0
218,76,9,71.625,1,0,0,0,0,0,0
219,72,4,26.5,0,0,1,0,0,0,0
220,51,7,51.25,0,0,0,0,0,1,0
221,50,2,14.25,0,0,0,0,0,0,1
222,18,10,99.125,0,1,0,0,0,0,0
223,17,12,96.7083,0,0,0,0,0,0,1
224,68,4,33.5,1,0,0,0,0,0,0
225,14,6,59.375,1,0,0,0,0,0,0
226,23,11,90.75,1,0,0,0,0,0,0
227,26,12,90.625,1,0,0,0,0,0,0
228,25,9,81.875,0,0,0,0,0,1,0
229,25,3,27,0,0,0,0,0,1,0
230,52,7,59.625,0,0,0,0,1,0,0
231,21,2,17.5,0,0,1,0,0,0,0
232,33,10,80.125,0,0,0,0,1,0,0
233,39,1,13.25,0,0,0,1,0,0,0
234,70,5,41.5,0,0,0,1,0,0,0
235,33,8,56.75,0,0,0,0,0,0,1
236,71,4,22.08333333,1,0,0,0,0,0,0
237,27,8,76.6666,1,0,0,0,0,0,0
238,26,10,98.99993333,1,0,0,0,0,0,0
239,43,2,11.16666667,0,0,0,0,0,1,0
240,22,11,90.3333,0,0,0,0,1,0,0
241,62,1,9.333333333,0,0,0,1,0,0,0
242,31,7,65.58326667,0,0,0,1,0,0,0
243,38,9,76.83333333,0,0,0,1,0,0,0
244,35,12,100.1666667,0,0,0,1,0,0,0
245,15,6,55.83333333,0,1,0,0,0,0,0
246,17,13,102.0833333,0,0,0,0,0,0,1
247,37,3,10.16666667,0,0,0,0,0,0,1
248,68,5,34.66666667,0,0,0,0,0,0,1
249,30,2,16.33333333,1,0,0,0,0,0,0
250,46,5,52,1,0,0,0,0,0,0
251,34,7,63.66666667,1,0,0,0,0,0,0
252,53,4,38.33333333,0,0,0,0,0,1,0
253,27,6,52.25,0,0,0,0,0,1,0
254,27,8,71.08333333,0,0,0,0,0,1,0
255,22,11,86.9722,0,0,0,0,0,1,0
256,72,1,8.666666667,0,0,0,0,0,0,1
257,26,12,86.9166,0,0,1,0,0,0,0
258,35,10,84.61106667,0,0,0,0,0,0,1
259,42,9,77.08333333,0,0,0,1,0,0,0
260,52,3,27.66666667,0,0,0,0,0,0,1
261,21,1,11.5,1,0,0,0,0,0,0
262,60,6,51,1,0,0,0,0,0,0
263,64,8,69.66666667,1,0,0,0,0,0,0
264,32,7,58,0,0,0,0,0,1,0
265,30,11,93.833275,0,0,0,0,0,1,0
266,16,13,100.5416333,0,0,0,0,0,1,0
267,32,5,41.25,0,0,1,0,0,0,0
268,66,2,16.25,0,0,0,0,1,0,0
269,29,12,100.2498833,0,0,0,0,0,1,0
270,57,3,26.25,0,0,0,1,0,0,0
271,48,4,26.16666667,0,0,0,1,0,0,0
272,32,10,94,0,0,0,1,0,0,0
273,36,9,82.45833333,0,0,0,0,0,0,1
274,66,2,17.5,1,0,0,0,0,0,0
275,64,3,23.5,1,0,0,0,0,0,0
276,30,5,49.25,1,0,0,0,0,0,0
277,47,6,56.875,0,0,0,0,0,1,0
278,29,8,56.875,0,0,0,0,0,1,0
279,20,9,79.125,0,0,0,0,0,1,0
280,40,11,78.208325,0,0,0,0,0,1,0
281,32,12,87.91665,0,0,0,0,0,1,0
282,46,1,9.75,1,0,0,0,0,0,0
283,45,4,35,0,0,0,1,0,0,0
284,20,10,89.7083,0,0,0,1,0,0,0
285,36,7,50.875,0,0,0,0,0,0,1
286,21,4,35.83333333,1,0,0,0,0,0,0
287,31,11,83.80550833,1,0,0,0,0,0,0
288,23,13,91.75,1,0,0,0,0,0,0
289,43,3,27,0,0,0,0,0,1,0
290,33,6,54.16666667,0,0,0,0,0,1,0
291,43,8,60.75,0,0,0,0,0,1,0
292,22,9,73.58333333,0,0,0,0,0,1,0
293,68,1,10.33333333,0,0,0,0,1,0,0
294,31,12,88.83333333,0,0,0,1,0,0,0
295,47,2,12.5,0,0,0,1,0,0,0
296,43,5,40.5,0,0,0,1,0,0,0
297,39,10,78.375,0,0,0,0,0,0,1
298,36,7,56.5,0,0,0,0,0,0,1
299,27,1,6.333333333,0,0,0,0,0,1,0
300,44,2,6,0,0,0,0,0,1,0
301,71,3,13.04166667,0,0,0,0,0,1,0
302,21,4,15.41666667,0,0,0,0,0,1,0
303,37,5,22.125,0,0,0,0,0,1,0
304,29,6,23.5,0,0,0,0,0,1,0
305,25,7,25.66666667,0,0,0,0,0,1,0
306,47,8,34,0,0,0,0,0,1,0
307,30,9,34.875,0,0,0,0,0,1,0
308,28,10,37.16666667,0,0,0,0,0,1,0
309,39,9,73,1,0,0,0,0,0,0
310,27,11,78.16666667,1,0,0,0,0,0,0
311,52,3,20.66666667,1,0,0,0,0,0,0
312,58,6,50.5,1,0,0,0,0,0,0
313,17,12,81.83333333,1,0,0,0,0,0,0
314,46,2,12.16666667,0,0,0,0,0,1,0
315,50,5,47.33333333,0,0,0,0,0,1,0
316,36,7,57.66666667,0,0,0,0,0,1,0
317,34,1,5.833333333,1,0,0,0,0,0,0
318,38,13,67.16666667,0,0,0,0,0,0,1
319,25,4,34,0,0,0,1,0,0,0
320,21,10,79.5,0,1,0,0,0,0,0
321,32,8,50,0,0,0,0,0,0,1
322,55,6,60.1666,1,0,0,0,0,0,0
323,42,8,83.1666,1,0,0,0,0,0,0
324,41,11,91.08326667,1,0,0,0,0,0,0
325,44,2,10,0,0,0,0,0,1,0
326,39,3,16.66666667,0,0,0,0,0,1,0
327,21,4,44.41666667,0,0,1,0,0,0,0
328,48,7,52.83333333,0,0,0,0,1,0,0
329,75,1,10.66666667,0,0,0,1,0,0,0
330,24,9,87.91666667,0,0,0,1,0,0,0
331,26,10,94.16666667,0,0,0,1,0,0,0
332,38,5,47.83333333,0,0,0,0,0,0,1
333,24,12,92.5416,0,0,0,0,0,0,1
334,51,3,24,1,0,0,0,0,0,0
335,41,4,32.66666667,1,0,0,0,0,0,0
336,39,8,57,1,0,0,0,0,0,0
337,18,11,78.49986667,1,0,0,0,0,0,0
338,48,12,91.99986667,1,0,0,0,0,0,0
339,56,1,9,0,0,0,0,0,1,0
340,36,5,40.33333333,0,0,0,0,0,1,0
341,36,10,83.5,0,0,0,0,0,1,0
342,35,14,96.6666,0,0,0,0,1,0,0
343,42,9,70.33326667,0,0,0,1,0,0,0
344,45,13,84.16666667,0,0,0,1,0,0,0
345,35,15,95.33333333,0,0,0,0,0,0,1
346,59,2,13,0,0,0,0,0,0,1
347,48,6,51.66666667,0,0,0,0,0,0,1
348,41,7,51,0,0,0,0,0,0,1
349,75,1,7,1,0,0,0,0,0,0
350,48,3,24.58333333,1,0,0,0,0,0,0
351,54,10,76.54166667,1,0,0,0,0,0,0
352,29,4,25.29166667,0,0,0,0,0,1,0
353,40,7,52.45833333,0,0,0,0,0,1,0
354,18,11,75.875,0,0,0,0,0,1,0
355,31,15,79.33333333,0,0,0,0,0,1,0
356,34,13,79.125,0,0,0,0,0,1,0
357,47,5,38.83333333,0,0,0,1,0,0,0
358,36,9,62.54166667,0,0,0,1,0,0,0
359,21,8,67.25,0,1,0,0,0,0,0
360,18,14,91.75,0,1,0,0,0,0,0
361,38,2,19.25,0,0,0,0,0,0,1
362,50,6,43.875,0,0,0,0,0,0,1
363,39,12,89.375,0,0,0,0,0,0,1
364,51,1,4.5,1,0,0,0,0,0,0
365,71,3,16.5,1,0,0,0,0,0,0
366,50,5,39,1,0,0,0,0,0,0
367,24,6,34.75,1,0,0,0,0,0,0
368,39,11,71.625,1,0,0,0,0,0,0
369,32,12,73.375,1,0,0,0,0,0,0
370,50,14,90.625,1,0,0,0,0,0,0
371,61,4,24,0,0,0,0,0,0,1
372,34,7,42.5,0,0,0,1,0,0,0
373,32,8,55,0,0,0,1,0,0,0
374,50,9,65.75,0,1,0,0,0,0,0
375,18,16,94.75,0,1,0,0,0,0,0
376,50,2,10.75,0,0,0,0,0,0,1
377,34,10,53.875,0,0,0,0,0,0,1
378,40,13,86.375,0,0,0,0,0,0,1
379,31,15,90.625,0,0,0,0,0,0,1
380,32,2,10.33333333,1,0,0,0,0,0,0
381,55,5,32.5,1,0,0,0,0,0,0
382,68,8,55.45833333,1,0,0,0,0,0,0
383,49,10,80.5,1,0,0,0,0,0,0
384,17,14,100.3333333,1,0,0,0,0,0,0
385,38,4,23.5,0,0,0,0,0,1,0
386,58,1,4,1,0,0,0,0,0,0
387,52,3,15,0,0,1,0,0,0,0
388,46,13,97.75,0,0,0,1,0,0,0
389,27,7,53.79166667,0,1,0,0,0,0,0
390,26,9,57.75,0,0,0,0,0,0,1
391,53,6,37.33333333,0,0,0,0,0,0,1
392,27,11,97.08333333,0,0,0,0,0,0,1
393,38,12,97.25,0,0,0,0,0,0,1
394,51,1,12,1,0,0,0,0,0,0
395,68,3,15.75,1,0,0,0,0,0,0
396,74,3,15.58333333,1,0,0,0,0,0,0
397,24,11,81.625,1,0,0,0,0,0,0
398,38,8,54.75,0,0,0,0,0,1,0
399,39,9,74.83333333,0,0,0,0,0,1,0
400,26,10,75.33333333,0,0,0,0,0,1,0
401,28,12,72.33333333,0,0,0,0,0,1,0
402,33,1,11.66666667,0,0,0,0,1,0,0
403,27,5,28.29166667,0,0,1,0,0,0,0
404,51,6,36.33333333,0,0,0,0,0,0,1
405,26,7,47.25,0,0,0,0,0,0,1
406,29,13,80.08333333,0,0,0,0,0,0,1
407,54,1,9.5,1,0,0,0,0,0,0
408,44,7,60.58333333,1,0,0,0,0,0,0
409,55,10,90.0416,1,0,0,0,0,0,0
410,46,1,11,0,0,0,0,0,1,0
411,24,12,94.4722,0,0,0,0,0,1,0
412,59,8,57.58333333,1,0,0,0,0,0,0
413,22,14,97.2222,0,0,0,0,1,0,0
414,41,4,29,0,0,0,0,1,0,0
415,29,3,19.5,0,0,0,1,0,0,0
416,34,5,39.83333333,0,0,0,1,0,0,0
417,24,13,96.70833333,0,1,0,0,0,0,0
418,26,6,51.08333333,0,0,0,0,0,0,1
419,32,9,89.70833333,0,0,0,0,0,0,1
420,33,11,92.4444,0,0,0,0,0,0,1
